epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,316.921,0.38256,5.21453,2.02243,0.70153,0.69646,0.76327,0.5101,0.41018,13.88,2.20746,0.000775822,0.000775822,0.000775822
110,319.765,0.37599,5.11404,2.07773,0.73746,0.60494,0.73606,0.47141,0.42784,14.5242,2.30734,0.00076757,0.00076757,0.00076757
111,322.624,0.39377,5.66526,2.10668,0.80041,0.69318,0.81476,0.50807,0.48143,15.406,2.41826,0.000759318,0.000759318,0.000759318
112,325.474,0.36351,5.36833,2.02475,0.69544,0.69136,0.79031,0.55176,0.37352,16.0664,2.14395,0.000751067,0.000751067,0.000751067
113,328.311,0.36786,5.44369,2.02312,0.84057,0.78113,0.85113,0.5687,0.41363,11.4224,2.20654,0.000742815,0.000742815,0.000742815
114,331.197,0.36926,5.59318,2.04582,0.74363,0.7037,0.80269,0.56599,0.38493,12.0451,2.15407,0.000734564,0.000734564,0.000734564
115,334.071,0.36816,5.38505,2.03533,0.69014,0.64198,0.7459,0.52396,0.38071,14.3185,2.15573,0.000726312,0.000726312,0.000726312
116,336.939,0.36992,5.16368,2.0532,0.53731,0.88889,0.70557,0.46697,0.3845,25.4952,2.15031,0.00071806,0.00071806,0.00071806
117,339.801,0.38285,5.53381,2.08402,0.58879,0.77778,0.72287,0.48639,0.38507,29.3845,2.22169,0.000709809,0.000709809,0.000709809
118,342.665,0.34907,5.23327,1.97577,0.6699,0.85185,0.80098,0.57689,0.36111,18.7584,2.09364,0.000701557,0.000701557,0.000701557
119,345.528,0.3593,5.17184,2.00231,0.68931,0.87654,0.82649,0.58622,0.38133,13.9554,2.1121,0.000693305,0.000693305,0.000693305
120,348.368,0.35258,5.18235,1.97268,0.74083,0.77638,0.83962,0.60514,0.39066,11.0333,2.16838,0.000685054,0.000685054,0.000685054
121,351.228,0.34322,4.96457,1.95683,0.79265,0.7284,0.84572,0.60833,0.3833,12.0808,2.16661,0.000676802,0.000676802,0.000676802
122,354.082,0.36179,5.27043,1.9991,0.88202,0.73837,0.8659,0.6136,0.39723,8.17717,2.21078,0.00066855,0.00066855,0.00066855
123,356.94,0.34625,5.08573,1.98257,0.79178,0.75116,0.8464,0.57753,0.37592,12.2564,2.16562,0.000660299,0.000660299,0.000660299
124,359.811,0.34483,4.95345,1.9707,0.8004,0.74262,0.84834,0.59852,0.36684,13.319,2.14642,0.000652047,0.000652047,0.000652047
125,362.662,0.34494,4.87078,1.99856,0.83641,0.76543,0.86104,0.62551,0.37401,10.0615,2.20922,0.000643795,0.000643795,0.000643795
126,365.519,0.36113,5.03454,1.97729,0.79926,0.7284,0.84344,0.59031,0.38077,9.43233,2.25776,0.000635544,0.000635544,0.000635544
127,368.363,0.36119,5.04716,1.98779,0.80925,0.71605,0.83585,0.57972,0.41165,9.54943,2.36184,0.000627292,0.000627292,0.000627292
128,371.216,0.34792,4.91214,1.97206,0.84479,0.73919,0.82707,0.58988,0.38201,8.49218,2.25776,0.00061904,0.00061904,0.00061904
129,374.112,0.34922,4.77578,1.96282,0.83978,0.74074,0.84513,0.59829,0.41212,9.32142,2.28284,0.000610789,0.000610789,0.000610789
130,376.971,0.35058,5.00323,2.03258,0.68041,0.81481,0.79982,0.58065,0.40055,17.6417,2.24086,0.000602537,0.000602537,0.000602537
131,379.811,0.34436,4.85286,1.91865,0.61905,0.80247,0.75346,0.52383,0.39568,23.8644,2.24949,0.000594286,0.000594286,0.000594286
132,382.662,0.35878,5.03799,2.0056,0.58871,0.90123,0.80375,0.54339,0.43705,16.8039,2.33188,0.000586034,0.000586034,0.000586034
133,385.512,0.33654,4.71523,1.93233,0.68424,0.79012,0.79211,0.59003,0.36385,12.1834,2.09092,0.000577782,0.000577782,0.000577782
134,388.363,0.34505,4.74798,1.95184,0.74992,0.7034,0.82492,0.58817,0.39366,13.0668,2.16546,0.000569531,0.000569531,0.000569531
135,391.22,0.34243,4.72816,1.93272,0.75698,0.76912,0.82619,0.59543,0.36289,11.1911,2.10837,0.000561279,0.000561279,0.000561279
136,394.062,0.33649,4.65555,1.93412,0.50746,0.83951,0.71437,0.47994,0.37251,22.996,2.2229,0.000553027,0.000553027,0.000553027
137,396.939,0.33385,4.53449,1.9365,0.74258,0.66667,0.77456,0.54808,0.39449,15.996,2.24697,0.000544776,0.000544776,0.000544776
138,399.779,0.34334,4.73643,1.97211,0.84506,0.74069,0.86189,0.58754,0.39428,10.9334,2.27698,0.000536524,0.000536524,0.000536524
139,402.656,0.3341,4.79604,1.96657,0.6422,0.8642,0.82323,0.56876,0.40911,15.2497,2.33182,0.000528272,0.000528272,0.000528272
140,405.537,0.34304,4.55275,1.91502,0.6,0.74074,0.69312,0.50548,0.37805,28.2521,2.23987,0.000520021,0.000520021,0.000520021
141,408.391,0.33969,4.72866,1.95869,0.60684,0.87654,0.7576,0.50783,0.40262,21.2627,2.35582,0.000511769,0.000511769,0.000511769
142,411.237,0.33231,4.75737,1.94886,0.82774,0.7284,0.83644,0.57891,0.4104,11.4488,2.41482,0.000503517,0.000503517,0.000503517
143,414.085,0.33819,4.72609,1.95216,0.84396,0.73454,0.84706,0.60102,0.39424,10.3841,2.36513,0.000495266,0.000495266,0.000495266
144,416.953,0.33124,4.54856,1.96062,0.81632,0.71329,0.84022,0.6053,0.40328,9.40662,2.38308,0.000487014,0.000487014,0.000487014
